时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
656.0,,88.0,0.5516,0.177,0.252,-0.03,0.104,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,42.0,41.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,41.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,44.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,42.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,42.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,41.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,41.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.888888888888886,41.275,40.85,40.4375
657.0,,85.0,0.5516,0.168,0.252,-0.03,0.104,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,42.0,41.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,41.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,44.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,42.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,42.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,41.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.888888888888886,41.275,40.85,40.40625
658.0,,85.0,0.5519,0.172,0.24,-0.03,0.104,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,42.0,41.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,41.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,42.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,41.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.888888888888886,41.225,40.825,40.40625
659.0,,85.0,0.5522,0.194,0.24,-0.03,0.097,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,42.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,41.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,41.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,41.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.861111111111114,41.2,40.825,40.4375
660.0,,85.0,0.5527,0.198,0.234,-0.025,0.104,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,42.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,41.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.861111111111114,41.2,40.8,40.40625
661.0,,85.0,0.5537,0.202,0.246,-0.03,0.104,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,42.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,40.0,39.0,40.0,40.0,,,,,,,,,40.833333333333336,41.2,40.8,40.375
662.0,,85.0,0.5536,0.202,0.276,-0.03,0.11,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,42.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,41.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,42.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.861111111111114,41.2,40.8,40.375
663.0,,85.0,0.5538,0.215,0.288,-0.025,0.104,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,41.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,42.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,42.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.833333333333336,41.225,40.8,40.375
664.0,,85.0,0.5544,0.181,0.252,-0.025,0.11,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,42.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,42.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.80555555555556,41.225,40.8,40.375
665.0,,85.0,0.555,0.185,0.258,-0.03,0.11,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,42.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,42.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.80555555555556,41.225,40.8,40.375
666.0,,85.0,0.5546,0.185,0.258,-0.025,0.11,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,42.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.80555555555556,41.225,40.8,40.40625
667.0,,85.0,0.555,0.185,0.24,-0.025,0.104,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,42.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.80555555555556,41.2,40.8,40.375
668.0,,81.0,0.555,0.16,0.223,-0.025,0.097,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,42.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.80555555555556,41.2,40.8,40.375
669.0,,81.0,0.555,0.185,0.234,-0.03,0.104,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.80555555555556,41.2,40.8,40.40625
670.0,,81.0,0.5559,0.164,0.24,-0.03,0.097,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,41.0,42.0,41.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.80555555555556,41.175,40.8,40.40625
671.0,,81.0,0.5559,0.194,0.24,-0.025,0.104,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,41.0,42.0,42.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.80555555555556,41.2,40.8,40.40625
672.0,,81.0,0.5566,0.189,0.217,-0.03,0.104,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,41.0,42.0,42.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,42.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.80555555555556,41.2,40.8,40.375
673.0,,81.0,0.556,0.198,0.211,-0.025,0.097,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,42.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.80555555555556,41.225,40.8,40.40625
674.0,,81.0,0.5567,0.198,0.223,-0.03,0.097,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,43.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.80555555555556,41.2,40.8,40.40625
675.0,,81.0,0.557,0.194,0.258,-0.025,0.104,40.0,39.0,39.0,39.0,40.0,40.0,39.0,39.0,42.0,43.0,41.0,40.0,42.0,43.0,42.0,42.0,42.0,43.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0,40.0,,,39.0,38.0,41.0,40.0,,,45.0,40.0,42.0,42.0,40.0,39.0,42.0,42.0,42.0,40.0,43.0,43.0,40.0,40.0,42.0,43.0,41.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,41.0,43.0,42.0,40.0,40.0,42.0,42.0,41.0,40.0,43.0,42.0,40.0,40.0,41.0,43.0,41.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,42.0,41.0,43.0,41.0,40.0,40.0,40.0,42.0,42.0,41.0,42.0,42.0,40.0,40.0,40.0,42.0,42.0,41.0,41.0,41.0,40.0,39.0,40.0,42.0,41.0,40.0,41.0,41.0,39.0,39.0,40.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,42.0,41.0,41.0,41.0,40.0,40.0,41.0,42.0,42.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0,43.0,41.0,40.0,41.0,39.0,39.0,39.0,40.0,41.0,39.0,40.0,40.0,,,,,,,,,40.77777777777778,41.2,40.8,40.40625
