时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
407.0,,24.0,0.5157,0.211,0.359,-0.025,0.104,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,42.0,46.0,41.0,39.0,43.0,43.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,,,43.0,43.0,41.0,39.0,,,49.0,42.0,40.0,39.0,43.0,44.0,42.0,41.0,45.0,41.0,42.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,42.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,42.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,42.0,41.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,39.0,38.0,,,,,,,,,41.583333333333336,41.6,41.025,40.375
408.0,,24.0,0.5157,0.198,0.341,-0.03,0.11,45.0,44.0,43.0,42.0,44.0,44.0,42.0,41.0,42.0,46.0,41.0,39.0,43.0,43.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,44.0,42.0,41.0,45.0,41.0,42.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,42.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,42.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,42.0,41.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,39.0,38.0,,,,,,,,,41.583333333333336,41.6,41.025,40.375
409.0,,24.0,0.5157,0.181,0.341,-0.025,0.097,45.0,44.0,43.0,42.0,44.0,44.0,42.0,41.0,42.0,45.0,41.0,39.0,43.0,43.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,44.0,42.0,41.0,45.0,41.0,42.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,42.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,42.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,42.0,41.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,40.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,39.0,38.0,,,,,,,,,41.55555555555556,41.6,41.025,40.40625
410.0,,24.0,0.5157,0.172,0.353,-0.025,0.09,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,42.0,45.0,41.0,39.0,43.0,43.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,43.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,42.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,42.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,41.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,40.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,41.0,40.0,40.0,45.0,42.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,40.0,39.0,38.0,,,,,,,,,41.52777777777778,41.55,41.0,40.53125
411.0,,24.0,0.5157,0.202,0.365,-0.03,0.097,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,42.0,45.0,41.0,39.0,43.0,43.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,43.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,41.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,40.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,41.0,40.0,40.0,45.0,42.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,40.0,39.0,38.0,,,,,,,,,41.52777777777778,41.55,40.95,40.53125
412.0,,24.0,0.5157,0.202,0.353,-0.025,0.097,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,42.0,45.0,41.0,39.0,42.0,43.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,44.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,40.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,41.0,40.0,40.0,45.0,42.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,40.0,39.0,38.0,,,,,,,,,41.5,41.575,40.925,40.53125
413.0,,24.0,0.5166,0.185,0.335,-0.025,0.09,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,42.0,45.0,41.0,39.0,42.0,43.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,44.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,41.0,41.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,40.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,41.0,40.0,40.0,45.0,42.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,40.0,39.0,38.0,,,,,,,,,41.47222222222222,41.55,40.9,40.53125
414.0,,24.0,0.5166,0.198,0.376,-0.025,0.09,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,42.0,45.0,41.0,39.0,42.0,43.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,43.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,41.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,41.0,40.0,40.0,45.0,42.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,40.0,39.0,38.0,,,,,,,,,41.47222222222222,41.525,40.875,40.5
415.0,,24.0,0.5166,0.189,0.335,-0.025,0.09,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,42.0,45.0,41.0,39.0,42.0,43.0,41.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,43.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,41.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,41.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,41.0,40.0,40.0,45.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,40.0,39.0,38.0,,,,,,,,,41.47222222222222,41.5,40.875,40.46875
416.0,,23.0,0.5161,0.198,0.311,-0.025,0.097,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,42.0,45.0,41.0,39.0,42.0,42.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,43.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,43.0,43.0,42.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,41.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,41.0,41.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,41.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,45.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,39.0,38.0,,,,,,,,,41.416666666666664,41.45,40.85,40.40625
417.0,,23.0,0.5163,0.189,0.3,-0.025,0.097,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,42.0,45.0,41.0,39.0,42.0,42.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,43.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,43.0,43.0,42.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,41.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,41.0,41.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,41.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,39.0,38.0,,,,,,,,,41.416666666666664,41.45,40.85,40.375
418.0,,23.0,0.5163,0.189,0.288,-0.025,0.09,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,42.0,45.0,41.0,39.0,42.0,42.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,43.0,42.0,41.0,45.0,41.0,41.0,41.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,43.0,43.0,42.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,41.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,41.0,41.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,41.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,39.0,38.0,,,,,,,,,41.416666666666664,41.425,40.85,40.375
419.0,,23.0,0.5163,0.181,0.288,-0.025,0.09,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,41.0,45.0,41.0,39.0,42.0,42.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,44.0,42.0,41.0,45.0,41.0,42.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,41.0,41.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,44.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,39.0,38.0,,,,,,,,,41.388888888888886,41.575,40.825,40.375
420.0,,23.0,0.5163,0.189,0.264,-0.025,0.09,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,41.0,45.0,41.0,39.0,42.0,42.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,44.0,42.0,41.0,45.0,41.0,42.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,41.0,41.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,43.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,43.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,38.0,37.0,,,,,,,,,41.388888888888886,41.575,40.825,40.28125
421.0,,23.0,0.5163,0.185,0.27,-0.025,0.097,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,41.0,45.0,41.0,39.0,42.0,42.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,44.0,42.0,41.0,45.0,41.0,42.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,41.0,41.0,41.0,40.0,42.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,43.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,42.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,38.0,37.0,,,,,,,,,41.388888888888886,41.575,40.825,40.25
422.0,,23.0,0.517,0.185,0.27,-0.025,0.09,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,41.0,45.0,41.0,39.0,42.0,42.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,44.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,41.0,41.0,41.0,40.0,42.0,42.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,43.0,42.0,41.0,39.0,41.0,41.0,40.0,41.0,42.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,38.0,37.0,,,,,,,,,41.388888888888886,41.525,40.8,40.1875
423.0,,23.0,0.517,0.189,0.288,-0.025,0.09,45.0,44.0,43.0,42.0,44.0,44.0,42.0,40.0,41.0,45.0,40.0,39.0,42.0,42.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,44.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,42.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,40.0,42.0,42.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,43.0,42.0,41.0,39.0,41.0,41.0,40.0,41.0,42.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,38.0,37.0,,,,,,,,,41.361111111111114,41.525,40.825,40.1875
424.0,,23.0,0.5174,0.189,0.341,-0.025,0.077,44.0,44.0,43.0,42.0,43.0,44.0,42.0,40.0,41.0,45.0,40.0,39.0,42.0,42.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,44.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,41.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,40.0,42.0,42.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,43.0,42.0,41.0,39.0,41.0,41.0,40.0,41.0,42.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,38.0,37.0,,,,,,,,,41.30555555555556,41.5,40.825,40.1875
425.0,,23.0,0.5167,0.189,0.3,-0.025,0.09,44.0,44.0,42.0,42.0,43.0,44.0,42.0,40.0,41.0,45.0,40.0,39.0,42.0,42.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,43.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,41.0,41.0,41.0,43.0,43.0,42.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,41.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,40.0,42.0,42.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,41.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,43.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,42.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,38.0,38.0,,,,,,,,,41.27777777777778,41.45,40.85,40.28125
426.0,,20.0,0.5174,0.189,0.282,-0.025,0.104,44.0,44.0,42.0,42.0,43.0,44.0,42.0,40.0,41.0,45.0,40.0,39.0,42.0,42.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,,,43.0,43.0,41.0,39.0,,,48.0,42.0,40.0,39.0,43.0,43.0,42.0,41.0,45.0,41.0,41.0,42.0,44.0,44.0,42.0,42.0,42.0,40.0,41.0,41.0,43.0,43.0,42.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,43.0,43.0,41.0,41.0,40.0,38.0,38.0,38.0,44.0,43.0,42.0,41.0,42.0,41.0,41.0,40.0,42.0,42.0,41.0,41.0,42.0,41.0,41.0,41.0,42.0,42.0,41.0,40.0,42.0,41.0,40.0,39.0,41.0,41.0,40.0,40.0,41.0,41.0,40.0,39.0,40.0,40.0,40.0,40.0,41.0,40.0,39.0,38.0,40.0,41.0,41.0,40.0,43.0,42.0,41.0,39.0,41.0,42.0,41.0,41.0,42.0,41.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,41.0,40.0,39.0,39.0,39.0,38.0,39.0,42.0,39.0,38.0,38.0,,,,,,,,,41.27777777777778,41.425,40.825,40.28125
