时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
290.0,,217.0,0.6172,0.138,0.205,-0.025,0.11,44.0,43.0,44.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,43.0,41.0,38.0,40.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,44.0,40.0,43.0,42.0,45.0,38.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,43.0,40.0,42.0,40.0,42.0,36.0,36.0,40.0,40.0,40.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,41.0,40.0,42.0,36.0,37.0,40.0,41.0,39.0,41.0,40.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,38.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,36.0,,,,,,,,,41.02777777777778,40.175,38.825,37.71875
291.0,,217.0,0.6172,0.147,0.205,-0.025,0.11,44.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,43.0,41.0,38.0,40.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,44.0,40.0,43.0,42.0,45.0,38.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,43.0,40.0,42.0,40.0,42.0,36.0,36.0,40.0,40.0,40.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,41.0,40.0,42.0,36.0,37.0,40.0,41.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,39.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,38.0,39.0,37.0,38.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,36.0,,,,,,,,,41.0,40.175,38.875,37.71875
292.0,,217.0,0.6172,0.143,0.199,-0.025,0.11,44.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,43.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,44.0,40.0,43.0,42.0,45.0,38.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,43.0,40.0,42.0,40.0,42.0,36.0,36.0,40.0,40.0,40.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,41.0,39.0,41.0,40.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,39.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,39.0,40.0,35.0,36.0,38.0,39.0,37.0,38.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,36.0,,,,,,,,,40.97222222222222,40.175,38.9,37.71875
293.0,,217.0,0.6177,0.138,0.187,-0.025,0.104,44.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,43.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,44.0,40.0,43.0,42.0,45.0,38.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,40.0,42.0,36.0,36.0,40.0,40.0,40.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,41.0,39.0,41.0,40.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,39.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,39.0,40.0,35.0,36.0,38.0,39.0,37.0,38.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,36.0,,,,,,,,,40.97222222222222,40.15,38.9,37.71875
294.0,,217.0,0.6177,0.138,0.175,-0.025,0.117,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,43.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,43.0,40.0,43.0,42.0,45.0,38.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,40.0,42.0,36.0,36.0,40.0,40.0,40.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,41.0,39.0,41.0,40.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,39.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,39.0,40.0,35.0,36.0,38.0,39.0,37.0,38.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,36.0,,,,,,,,,40.94444444444444,40.125,38.9,37.71875
295.0,,217.0,0.6176,0.13,0.175,-0.025,0.11,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,43.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,43.0,40.0,43.0,42.0,45.0,38.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,40.0,42.0,36.0,36.0,40.0,40.0,40.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,40.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,39.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,38.0,39.0,37.0,38.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,36.0,,,,,,,,,40.94444444444444,40.125,38.85,37.71875
296.0,,217.0,0.6172,0.143,0.223,-0.03,0.104,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,43.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,43.0,40.0,43.0,42.0,45.0,38.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,40.0,42.0,36.0,36.0,40.0,40.0,40.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,40.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,39.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,38.0,39.0,37.0,38.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,36.0,,,,,,,,,40.94444444444444,40.125,38.85,37.71875
297.0,,217.0,0.6176,0.151,0.211,-0.025,0.104,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,43.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,43.0,40.0,43.0,42.0,45.0,38.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,40.0,42.0,36.0,36.0,40.0,40.0,40.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,39.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,38.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,36.0,,,,,,,,,40.94444444444444,40.125,38.8,37.71875
298.0,,217.0,0.6176,0.147,0.199,-0.025,0.117,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,43.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,43.0,40.0,43.0,42.0,45.0,38.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,40.0,42.0,36.0,36.0,40.0,40.0,39.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,39.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,38.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,36.0,,,,,,,,,40.94444444444444,40.1,38.8,37.71875
299.0,,217.0,0.6176,0.143,0.199,-0.025,0.11,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,43.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,43.0,40.0,43.0,42.0,45.0,38.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,40.0,42.0,36.0,36.0,40.0,40.0,39.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,39.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,36.0,,,,,,,,,40.94444444444444,40.1,38.775,37.71875
300.0,,195.0,0.6179,0.147,0.187,-0.025,0.11,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,42.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,43.0,40.0,43.0,42.0,45.0,37.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,40.0,42.0,36.0,36.0,40.0,40.0,39.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,38.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,37.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,35.0,,,,,,,,,40.916666666666664,40.075,38.75,37.65625
301.0,,195.0,0.6179,0.143,0.193,-0.03,0.11,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,42.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,43.0,40.0,43.0,42.0,45.0,37.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,39.0,42.0,36.0,36.0,40.0,40.0,39.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,38.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,37.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,35.0,,,,,,,,,40.916666666666664,40.05,38.75,37.65625
302.0,,195.0,0.6182,0.138,0.187,-0.03,0.11,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,42.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,43.0,40.0,43.0,42.0,45.0,37.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,39.0,42.0,36.0,36.0,40.0,40.0,39.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,38.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,37.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,35.0,,,,,,,,,40.916666666666664,40.05,38.75,37.65625
303.0,,195.0,0.6182,0.138,0.187,-0.025,0.11,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,42.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,44.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,39.0,44.0,43.0,40.0,43.0,42.0,45.0,37.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,39.0,42.0,36.0,36.0,40.0,40.0,39.0,41.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,38.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,37.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,35.0,,,,,,,,,40.916666666666664,40.05,38.75,37.65625
304.0,,195.0,0.6185,0.143,0.217,-0.03,0.11,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,46.0,44.0,41.0,39.0,41.0,42.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,43.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,38.0,44.0,43.0,40.0,43.0,42.0,45.0,37.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,39.0,42.0,36.0,36.0,40.0,40.0,39.0,40.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,41.0,38.0,40.0,38.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,35.0,,,,,,,,,40.888888888888886,40.0,38.75,37.6875
305.0,,195.0,0.618,0.134,0.193,-0.025,0.11,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,45.0,44.0,41.0,39.0,41.0,42.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,43.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,38.0,44.0,43.0,40.0,43.0,42.0,45.0,37.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,42.0,39.0,42.0,36.0,36.0,40.0,40.0,39.0,40.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,40.0,38.0,40.0,38.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,35.0,,,,,,,,,40.861111111111114,40.0,38.725,37.6875
306.0,,195.0,0.6185,0.134,0.187,-0.025,0.11,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,45.0,44.0,41.0,39.0,41.0,42.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,43.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,38.0,44.0,43.0,40.0,43.0,42.0,45.0,37.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,41.0,39.0,42.0,36.0,36.0,40.0,40.0,39.0,40.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,40.0,38.0,40.0,38.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,35.0,,,,,,,,,40.861111111111114,39.975,38.725,37.6875
307.0,,195.0,0.6186,0.126,0.217,-0.025,0.124,43.0,43.0,43.0,44.0,41.0,43.0,46.0,44.0,47.0,45.0,44.0,41.0,39.0,41.0,42.0,41.0,38.0,39.0,39.0,39.0,37.0,38.0,38.0,37.0,36.0,36.0,37.0,37.0,,,41.0,43.0,36.0,37.0,,,48.0,47.0,39.0,42.0,41.0,44.0,37.0,38.0,44.0,43.0,40.0,43.0,42.0,45.0,37.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,41.0,39.0,42.0,36.0,36.0,40.0,40.0,39.0,40.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,39.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,40.0,38.0,40.0,38.0,40.0,35.0,36.0,39.0,40.0,38.0,39.0,38.0,40.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,35.0,,,,,,,,,40.861111111111114,39.975,38.7,37.6875
308.0,,195.0,0.6186,0.134,0.187,-0.025,0.117,43.0,43.0,43.0,44.0,41.0,42.0,46.0,44.0,47.0,45.0,44.0,41.0,39.0,41.0,42.0,41.0,38.0,39.0,39.0,39.0,37.0,37.0,37.0,37.0,36.0,36.0,37.0,37.0,,,41.0,43.0,36.0,37.0,,,48.0,47.0,38.0,42.0,41.0,44.0,37.0,38.0,44.0,43.0,40.0,43.0,42.0,45.0,37.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,41.0,39.0,41.0,36.0,36.0,40.0,40.0,39.0,40.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,40.0,38.0,40.0,38.0,40.0,35.0,36.0,39.0,39.0,38.0,39.0,38.0,39.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,35.0,,,,,,,,,40.75,39.95,38.675,37.6875
309.0,,195.0,0.6186,0.134,0.181,-0.025,0.117,43.0,43.0,43.0,44.0,41.0,42.0,45.0,44.0,47.0,45.0,44.0,41.0,39.0,41.0,42.0,41.0,38.0,39.0,39.0,39.0,37.0,37.0,37.0,37.0,36.0,36.0,37.0,37.0,,,41.0,43.0,36.0,37.0,,,48.0,47.0,38.0,42.0,41.0,44.0,37.0,38.0,44.0,43.0,40.0,43.0,42.0,45.0,37.0,39.0,41.0,42.0,39.0,42.0,41.0,43.0,37.0,38.0,41.0,42.0,40.0,41.0,39.0,41.0,36.0,36.0,40.0,40.0,39.0,40.0,40.0,42.0,36.0,37.0,39.0,38.0,37.0,38.0,41.0,42.0,37.0,37.0,40.0,42.0,40.0,40.0,40.0,42.0,36.0,37.0,40.0,40.0,39.0,41.0,39.0,41.0,36.0,37.0,40.0,40.0,38.0,40.0,38.0,40.0,35.0,36.0,39.0,39.0,38.0,39.0,38.0,39.0,35.0,36.0,37.0,39.0,37.0,37.0,39.0,40.0,36.0,36.0,39.0,41.0,39.0,39.0,40.0,41.0,37.0,37.0,38.0,40.0,37.0,38.0,38.0,40.0,36.0,36.0,38.0,40.0,37.0,37.0,37.0,38.0,34.0,34.0,36.0,38.0,35.0,35.0,,,,,,,,,40.72222222222222,39.95,38.675,37.6875
